发文时间,留言者昵称,留言内容,留言字数,留言时间,距离发文/min
2020-08-30 15:27:06,Zhenqiang Z,有幸中奖吗，不说了先三连[呲牙],16,2020-08-31 21:29:10,1803
2020-08-30 15:27:06,Reise,Ai第一步呀,6,2020-08-31 21:34:47,1808
2020-08-30 15:27:06,C,我感觉还能拯救一下,9,2020-08-31 21:52:44,1826
2020-08-30 15:27:06,Coinker,为了中奖，关注了,8,2020-08-31 21:52:24,1826
2020-08-30 15:27:06,听泉.ღ,哇 这个内容真的丰富了,11,2020-08-31 22:00:57,1834
2020-08-30 15:27:06,磐石泥,公司马上内外网落阿里云了，基础设施那本已购，弹性计算希望到手[胜利][胜利][胜利],42,2020-08-31 22:02:33,1836
2020-08-30 15:27:06,钟山,请给我一个T恤吧,8,2020-08-31 22:07:02,1840
2020-08-30 15:27:06,程序锅,跟一个师兄聊了一下之后，突然有点想搞云计算这块的了，所以也想学一下。而且石头哥第一次搞抽奖活动，必须支持一波。,55,2020-08-31 22:23:08,1857
2020-08-30 15:27:06,飞翔的猪,我可以[发呆],7,2020-08-31 22:30:46,1864
2020-08-30 15:27:06,bugtrap,做了好多年的分母，这次我想跳上去[害羞],20,2020-08-31 22:45:43,1879
2020-08-30 15:27:06,Time,看看 都是这么帅气的大佬,12,2020-08-31 23:18:17,1912
2020-08-30 15:27:06,傩送,必须支持,4,2020-08-31 23:35:02,1928
2020-08-30 15:27:06,herongwei,哇塞，巨佬巨佬，我等小菜也不自量力来尝试中个奖[呲牙],27,2020-08-31 23:37:20,1931
2020-08-30 15:27:06,豪,求中奖,3,2020-09-01 01:48:39,2062
2020-08-30 15:27:06,小仙,中奖中奖,4,2020-09-01 06:50:55,2364
2020-08-30 15:27:06,Jiabin®,磊哥真是越来越会玩儿了,11,2020-09-01 09:20:47,2514
2020-08-30 15:27:06,H*,希望能中!,5,2020-09-01 10:27:59,2581
2020-08-30 15:27:06,小。,留言一下,4,2020-09-01 11:20:53,2634
2020-08-30 15:27:06,码农,赞赞，我要我要🤣,9,2020-09-01 11:35:09,2649
2020-08-30 15:27:06,Eric丶,我从来没中过奖。我不信！,12,2020-09-01 11:39:15,2653
2020-08-30 15:27:06,静水流深,我来留言了,5,2020-09-01 12:25:40,2699
2020-08-30 15:27:06,Richard,阿里云的故事令人振奋，希望未来有一天可以入职阿里云~,26,2020-09-01 15:34:55,2888
2020-08-30 15:27:06,aimkobe,抽奖算法下次搞复杂花哨点,12,2020-09-01 21:34:35,3248
2020-08-30 15:27:06,加号,来，试试！,5,2020-09-01 21:59:41,3273
2020-08-30 15:27:06,影,抽奖,2,2020-09-01 22:01:10,3275
2020-08-30 15:27:06,近半生少年,求中奖！,4,2020-09-01 22:02:49,3276
2020-08-30 15:27:06,chateldon,来当分母～,5,2020-09-01 22:22:13,3296
2020-08-30 15:27:06,alin,一键三连走起,6,2020-09-01 22:30:47,3304
2020-08-30 15:27:06,飞不飞,奖品，我来了,6,2020-09-01 23:16:07,3350
2020-08-30 15:27:06,Merack,新粉丝，祝好运~,8,2020-09-02 00:22:19,3416
2020-08-30 15:27:06,慧超,希望中奖，很有深度的一本球，认真学习。,19,2020-09-02 18:14:32,4488
2020-08-30 15:27:06,AJ,我还有机会吗[呲牙],10,2020-09-02 21:48:19,4702
2020-08-30 15:27:06,Lee,我什么时候能像大佬一样成功[呲牙],17,2020-09-02 21:52:58,4706
2020-08-30 15:27:06,李彦傧,速度给28楼送一本,9,2020-09-02 21:57:35,4711
2020-08-30 15:27:06,烟火,中,1,2020-09-02 22:02:42,4716
2020-08-30 15:27:06,无关痛痒,占个坑～,4,2020-09-02 22:05:41,4719
2020-08-30 15:27:06,leetcode,石头哥，抽我,6,2020-09-02 23:24:44,4798
2020-08-30 15:27:06,披头,几个月没中了，万一中了呢[呲牙],16,2020-09-03 14:31:04,5704
2020-08-30 15:27:06,小柴,拉低大家中奖概率[旺柴],12,2020-09-03 17:40:31,5894
2020-08-30 15:27:06,溦澌,占个楼～,4,2020-09-05 09:04:17,8258
2020-08-30 15:27:06,难逃月色,估计又是绝缘体了。,9,2020-09-10 22:05:29,16239
2020-08-30 15:27:06,张剑,选我，选我:),7,2020-09-10 22:08:50,16242
2020-08-30 15:27:06,Character,中,1,2020-09-10 22:43:02,16276
2020-08-30 15:27:06,职业假笑😬,这个全文有点长[旺柴],11,2020-09-10 23:06:16,16300
2020-08-30 15:27:06,天澜,酒仙桥10号也来凑热闹,11,2020-09-10 23:29:13,16323
